member_id,membership_type,years_as_member,events_attended,benefits_used,payment_history,engagement_score,age_group,location_type,referrals_made,will_renew
M001,Premium,5,12,8,1,0.85,Adult,Urban,3,1
M002,Basic,2,3,2,0.75,0.45,Senior,Suburban,0,0
M003,VIP,8,25,15,1,0.95,Adult,Urban,7,1
M004,Basic,1,1,1,0.5,0.25,Young Adult,Rural,0,0
M005,Premium,3,8,5,0.9,0.7,Adult,Suburban,1,1
M006,VIP,12,30,20,1,0.9,Senior,Urban,12,1
M007,Basic,4,6,3,0.85,0.6,Adult,Rural,2,1
M008,Premium,1,2,1,0.6,0.3,Young Adult,Urban,0,0
M009,Basic,7,15,8,0.95,0.8,Senior,Suburban,4,1
M010,VIP,2,18,12,1,0.85,Adult,Urban,5,1
